hero_code,hero_name,role,lane,damage_type,fitness_score,ga_profile,item_1,item_2,item_3,item_4,item_5,item_6,total_cost,final_p_atk,final_m_power,final_hp,final_cdr,time_ms,error
ryoma,ryoma,Assassin,Dark Slayer,Physical,405.62,expert,Staff of Nuul,Hecate's Diadem,Arctic Orbs,Muramasa,Boomstick,Holy of Holies,13460.0,465.0,1260.0,8260.0,20.0,224.91,
ryoma,ryoma,Assassin,Farm,Physical,405.62,expert,Staff of Nuul,Holy of Holies,Hecate's Diadem,Muramasa,Arctic Orbs,Boomstick,13460.0,465.0,1260.0,8260.0,20.0,221.15,
sephera,sephera,Mage,Support,Magic,331.29,expert,Muramasa,Boomstick,Staff of Nuul,Hecate's Diadem,Arctic Orbs,Holy of Holies,13460.0,75.0,1260.0,0.0,20.0,220.02,
sephera,sephera,Mage,Mid,Magic,331.29,expert,Staff of Nuul,Holy of Holies,Arctic Orbs,Hecate's Diadem,Muramasa,Boomstick,13460.0,75.0,1260.0,0.0,20.0,218.05,
sephera,sephera,Support,Support,Magic,331.29,expert,Hecate's Diadem,Holy of Holies,Muramasa,Arctic Orbs,Boomstick,Staff of Nuul,13460.0,75.0,1260.0,0.0,20.0,213.02,
sephera,sephera,Support,Mid,Magic,331.29,expert,Staff of Nuul,Boomstick,Hecate's Diadem,Muramasa,Arctic Orbs,Holy of Holies,13460.0,75.0,1260.0,0.0,20.0,225.54,
sinestrea,sinestrea,Assassin,Farm,Physical,409.09,expert,Staff of Nuul,Arctic Orbs,Hecate's Diadem,Boomstick,Holy of Holies,Muramasa,13460.0,498.0,1260.0,7343.0,20.0,219.54,
sinestrea,sinestrea,Assassin,Dark Slayer,Physical,409.09,expert,Arctic Orbs,Muramasa,Holy of Holies,Staff of Nuul,Boomstick,Hecate's Diadem,13460.0,498.0,1260.0,7343.0,20.0,225.03,
skud,skud,Fighter,Dark Slayer,Physical,403.62,expert,Muramasa,Hecate's Diadem,Boomstick,Arctic Orbs,Staff of Nuul,Holy of Holies,13460.0,441.0,1260.0,10184.0,20.0,218.03,
skud,skud,Fighter,Farm,Physical,403.61,expert,Muramasa,Arctic Orbs,Fenrir's Tooth,Staff of Nuul,Holy of Holies,Hecate's Diadem,14610.0,641.0,1060.0,10184.0,20.0,224.68,
skud,skud,Tank,Dark Slayer,Physical,403.62,expert,Arctic Orbs,Hecate's Diadem,Boomstick,Staff of Nuul,Muramasa,Holy of Holies,13460.0,441.0,1260.0,10184.0,20.0,233.49,
skud,skud,Tank,Farm,Physical,403.62,expert,Muramasa,Staff of Nuul,Holy of Holies,Boomstick,Hecate's Diadem,Arctic Orbs,13460.0,441.0,1260.0,10184.0,20.0,227.17,
slimz,slimz,Carry,Dragon Slayer,Physical,404.67,expert,Holy of Holies,Hecate's Diadem,Arctic Orbs,Boomstick,Staff of Nuul,Muramasa,13460.0,469.0,1260.0,7198.0,20.0,230.03,
stuart,stuart,Carry,Dragon Slayer,Physical,413.0,expert,Arctic Orbs,Muramasa,Boomstick,Holy of Holies,Staff of Nuul,Hecate's Diadem,13460.0,527.0,1260.0,6978.0,20.0,216.48,
superman,superman,Fighter,Dark Slayer,Physical,398.5,expert,Muramasa,Boomstick,Staff of Nuul,Hecate's Diadem,Arctic Orbs,Holy of Holies,13460.0,418.0,1260.0,8366.0,20.0,225.03,
taara,taara,Fighter,Dark Slayer,Physical,401.44,expert,Muramasa,Staff of Nuul,Arctic Orbs,Boomstick,Holy of Holies,Hecate's Diadem,13460.0,434.0,1260.0,8566.0,20.0,221.06,
taara,taara,Tank,Dark Slayer,Physical,401.44,expert,Staff of Nuul,Muramasa,Holy of Holies,Boomstick,Hecate's Diadem,Arctic Orbs,13460.0,434.0,1260.0,8566.0,20.0,227.97,
tachi,tachi,Fighter,Dark Slayer,,,,,,,,,,,,,,,,unsupported operand type(s) for +: 'NoneType' and 'int'
tachi,tachi,Fighter,Farm,,,,,,,,,,,,,,,,unsupported operand type(s) for +: 'NoneType' and 'int'
teemee,teemee,Tank,Support,Physical,389.05,expert,Muramasa,Boomstick,Staff of Nuul,Arctic Orbs,Hecate's Diadem,Holy of Holies,13460.0,357.0,1260.0,7867.0,20.0,225.35,
teemee,teemee,Support,Support,Physical,389.05,expert,Arctic Orbs,Muramasa,Boomstick,Staff of Nuul,Hecate's Diadem,Holy of Holies,13460.0,357.0,1260.0,7867.0,20.0,237.03,
teeri,teeri,Carry,Dragon Slayer,Physical,331.29,expert,Staff of Nuul,Holy of Holies,Arctic Orbs,Boomstick,Muramasa,Hecate's Diadem,13460.0,75.0,1260.0,0.0,20.0,238.18,
tel_annas,tel_annas,Carry,Dragon Slayer,Physical,413.49,expert,Staff of Nuul,Muramasa,Hecate's Diadem,Boomstick,Arctic Orbs,Holy of Holies,13460.0,535.0,1260.0,7173.0,20.0,238.15,
thane,thane,Tank,Support,Physical,398.96,expert,Staff of Nuul,Boomstick,Arctic Orbs,Muramasa,Hecate's Diadem,Holy of Holies,13460.0,409.0,1260.0,9155.0,20.0,239.76,
thane,thane,Tank,Dark Slayer,Physical,398.96,expert,Muramasa,Holy of Holies,Boomstick,Arctic Orbs,Staff of Nuul,Hecate's Diadem,13460.0,409.0,1260.0,9155.0,20.0,225.03,
the_flash,the_flash,Assassin,Farm,Physical,331.29,expert,Hecate's Diadem,Holy of Holies,Boomstick,Staff of Nuul,Arctic Orbs,Muramasa,13460.0,75.0,1260.0,0.0,20.0,218.64,
the_flash,the_flash,Assassin,Mid,Physical,331.29,expert,Hecate's Diadem,Staff of Nuul,Arctic Orbs,Boomstick,Holy of Holies,Muramasa,13460.0,75.0,1260.0,0.0,20.0,223.03,
thorne,thorne,Carry,Dragon Slayer,Physical,408.32,expert,Staff of Nuul,Holy of Holies,Arctic Orbs,Muramasa,Hecate's Diadem,Fenrir's Tooth,14610.0,696.0,1060.0,7040.0,20.0,232.03,
thorne,thorne,Carry,Farm,Physical,408.33,expert,Staff of Nuul,Muramasa,Holy of Holies,Boomstick,Arctic Orbs,Hecate's Diadem,13460.0,496.0,1260.0,7040.0,20.0,232.5,
toro,toro,Tank,Support,Physical,391.88,expert,Staff of Nuul,Hecate's Diadem,Muramasa,Holy of Holies,Boomstick,Arctic Orbs,13460.0,361.0,1260.0,9178.0,20.0,217.03,
toro,toro,Tank,Dark Slayer,Physical,391.88,expert,Muramasa,Hecate's Diadem,Holy of Holies,Staff of Nuul,Arctic Orbs,Boomstick,13460.0,361.0,1260.0,9178.0,20.0,237.55,
toro,toro,Support,Support,Physical,391.88,expert,Staff of Nuul,Hecate's Diadem,Boomstick,Holy of Holies,Muramasa,Arctic Orbs,13460.0,361.0,1260.0,9178.0,20.0,226.03,
toro,toro,Support,Dark Slayer,Physical,391.88,expert,Muramasa,Holy of Holies,Arctic Orbs,Boomstick,Staff of Nuul,Hecate's Diadem,13460.0,361.0,1260.0,9178.0,20.0,229.54,
tulen,tulen,Mage,Mid,Magic,389.23,expert,Hecate's Diadem,Muramasa,Boomstick,Holy of Holies,Arctic Orbs,Staff of Nuul,13460.0,369.0,1260.0,6915.0,20.0,222.96,
valhein,valhein,Carry,Dragon Slayer,Physical,403.49,expert,Arctic Orbs,Staff of Nuul,Holy of Holies,Boomstick,Muramasa,Hecate's Diadem,13460.0,463.0,1260.0,6970.0,20.0,223.54,
veera,veera,Mage,Mid,Magic,395.15,expert,Holy of Holies,Arctic Orbs,Hecate's Diadem,Muramasa,Boomstick,Staff of Nuul,13460.0,406.0,1260.0,7317.0,20.0,216.03,
veres,veres,Fighter,Dark Slayer,Physical,331.29,expert,Muramasa,Staff of Nuul,Hecate's Diadem,Arctic Orbs,Boomstick,Holy of Holies,13460.0,75.0,1260.0,0.0,20.0,227.59,
violet,violet,Carry,Dragon Slayer,Physical,408.5,expert,Hecate's Diadem,Holy of Holies,Boomstick,Muramasa,Arctic Orbs,Staff of Nuul,13460.0,494.0,1260.0,7254.0,20.0,229.03,
volkath,volkath,Fighter,Dark Slayer,Physical,405.82,expert,Muramasa,Arctic Orbs,Staff of Nuul,Holy of Holies,Boomstick,Hecate's Diadem,13460.0,468.0,1260.0,7992.0,20.0,219.54,
volkath,volkath,Fighter,Farm,Physical,405.82,expert,Muramasa,Boomstick,Hecate's Diadem,Arctic Orbs,Staff of Nuul,Holy of Holies,13460.0,468.0,1260.0,7992.0,20.0,234.13,
volkath,volkath,Assassin,Dark Slayer,Physical,405.82,expert,Boomstick,Staff of Nuul,Hecate's Diadem,Muramasa,Arctic Orbs,Holy of Holies,13460.0,468.0,1260.0,7992.0,20.0,229.54,
volkath,volkath,Assassin,Farm,Physical,405.82,expert,Boomstick,Holy of Holies,Arctic Orbs,Muramasa,Staff of Nuul,Hecate's Diadem,13460.0,468.0,1260.0,7992.0,20.0,225.02,
wiro,wiro,Fighter,Support,Physical,331.29,expert,Holy of Holies,Staff of Nuul,Boomstick,Muramasa,Arctic Orbs,Hecate's Diadem,13460.0,75.0,1260.0,0.0,20.0,238.03,
wiro,wiro,Fighter,Dark Slayer,Physical,331.29,expert,Arctic Orbs,Hecate's Diadem,Boomstick,Staff of Nuul,Muramasa,Holy of Holies,13460.0,75.0,1260.0,0.0,20.0,230.05,
wiro,wiro,Tank,Support,Physical,331.29,expert,Boomstick,Staff of Nuul,Hecate's Diadem,Holy of Holies,Arctic Orbs,Muramasa,13460.0,75.0,1260.0,0.0,20.0,232.03,
wiro,wiro,Tank,Dark Slayer,Physical,331.29,expert,Muramasa,Staff of Nuul,Hecate's Diadem,Arctic Orbs,Boomstick,Holy of Holies,13460.0,75.0,1260.0,0.0,20.0,226.03,
wisp,wisp,Carry,Dragon Slayer,Physical,331.29,expert,Boomstick,Arctic Orbs,Holy of Holies,Hecate's Diadem,Staff of Nuul,Muramasa,13460.0,75.0,1260.0,0.0,20.0,222.54,
wonder_woman,wonder_woman,Fighter,Dark Slayer,Physical,407.17,expert,Staff of Nuul,Muramasa,Hecate's Diadem,Holy of Holies,Arctic Orbs,Boomstick,13460.0,471.0,1260.0,8775.0,20.0,228.46,
wukong,wukong,Assassin,Farm,,,,,,,,,,,,,,,,unsupported operand type(s) for +: 'NoneType' and 'int'
xeniel,xeniel,Tank,Dark Slayer,Physical,395.69,expert,Boomstick,Muramasa,Staff of Nuul,Hecate's Diadem,Holy of Holies,Arctic Orbs,13460.0,385.0,1260.0,9333.0,20.0,239.03,
xeniel,xeniel,Tank,Support,Physical,395.69,expert,Muramasa,Arctic Orbs,Staff of Nuul,Boomstick,Hecate's Diadem,Holy of Holies,13460.0,385.0,1260.0,9333.0,20.0,229.54,
xeniel,xeniel,Support,Dark Slayer,Physical,395.69,expert,Boomstick,Arctic Orbs,Staff of Nuul,Hecate's Diadem,Holy of Holies,Muramasa,13460.0,385.0,1260.0,9333.0,20.0,217.03,
xeniel,xeniel,Support,Support,Physical,395.69,expert,Arctic Orbs,Holy of Holies,Boomstick,Muramasa,Hecate's Diadem,Staff of Nuul,13460.0,385.0,1260.0,9333.0,20.0,226.53,
y_bneth,y_bneth,Tank,Support,Physical,331.29,expert,Holy of Holies,Hecate's Diadem,Arctic Orbs,Muramasa,Boomstick,Staff of Nuul,13460.0,75.0,1260.0,0.0,20.0,219.03,
y_bneth,y_bneth,Tank,Dark Slayer,Physical,331.29,expert,Staff of Nuul,Holy of Holies,Arctic Orbs,Muramasa,Hecate's Diadem,Boomstick,13460.0,75.0,1260.0,0.0,20.0,233.54,
yan,yan,Fighter,Farm,Physical,331.29,expert,Holy of Holies,Hecate's Diadem,Staff of Nuul,Arctic Orbs,Muramasa,Boomstick,13460.0,75.0,1260.0,0.0,20.0,232.03,
yan,yan,Fighter,Dark Slayer,Physical,331.29,expert,Muramasa,Hecate's Diadem,Arctic Orbs,Staff of Nuul,Boomstick,Holy of Holies,13460.0,75.0,1260.0,0.0,20.0,230.03,
yan,yan,Assassin,Farm,Physical,331.29,expert,Muramasa,Arctic Orbs,Boomstick,Staff of Nuul,Holy of Holies,Hecate's Diadem,13460.0,75.0,1260.0,0.0,20.0,230.56,
yan,yan,Assassin,Dark Slayer,Physical,331.29,expert,Arctic Orbs,Muramasa,Holy of Holies,Staff of Nuul,Boomstick,Hecate's Diadem,13460.0,75.0,1260.0,0.0,20.0,228.53,
yena,yena,Fighter,Dark Slayer,Physical,331.29,expert,Staff of Nuul,Muramasa,Holy of Holies,Arctic Orbs,Boomstick,Hecate's Diadem,13460.0,75.0,1260.0,0.0,20.0,221.04,
yorn,yorn,Carry,Dragon Slayer,Physical,408.23,expert,Staff of Nuul,Arctic Orbs,Hecate's Diadem,Boomstick,Muramasa,Holy of Holies,13460.0,494.0,1260.0,7152.0,20.0,217.03,
yue,yue,Mage,Mid,Magic,390.82,expert,Boomstick,Staff of Nuul,Muramasa,Hecate's Diadem,Holy of Holies,Arctic Orbs,13460.0,381.0,1260.0,7213.0,20.0,219.56,
zanis,zanis,Fighter,Farm,Physical,410.88,expert,Boomstick,Hecate's Diadem,Muramasa,Staff of Nuul,Holy of Holies,Arctic Orbs,13460.0,496.0,1260.0,8776.0,20.0,217.84,
zanis,zanis,Fighter,Dark Slayer,Physical,410.88,expert,Holy of Holies,Muramasa,Arctic Orbs,Boomstick,Staff of Nuul,Hecate's Diadem,13460.0,496.0,1260.0,8776.0,20.0,217.67,
zata,zata,Mage,Mid,Magic,331.29,expert,Staff of Nuul,Holy of Holies,Arctic Orbs,Muramasa,Hecate's Diadem,Boomstick,13460.0,75.0,1260.0,0.0,20.0,216.55,
zata,zata,Assassin,Mid,Magic,331.29,expert,Holy of Holies,Muramasa,Boomstick,Hecate's Diadem,Staff of Nuul,Arctic Orbs,13460.0,75.0,1260.0,0.0,20.0,223.02,
zephys,zephys,Fighter,Farm,Physical,409.63,expert,Boomstick,Muramasa,Holy of Holies,Arctic Orbs,Staff of Nuul,Hecate's Diadem,13460.0,493.0,1260.0,7992.0,20.0,230.54,
zephys,zephys,Fighter,Dark Slayer,Physical,409.63,expert,Staff of Nuul,Holy of Holies,Arctic Orbs,Muramasa,Hecate's Diadem,Boomstick,13460.0,493.0,1260.0,7992.0,20.0,219.12,
zephys,zephys,Assassin,Farm,Physical,409.63,expert,Staff of Nuul,Boomstick,Hecate's Diadem,Muramasa,Holy of Holies,Arctic Orbs,13460.0,493.0,1260.0,7992.0,20.0,215.84,
zephys,zephys,Assassin,Dark Slayer,Physical,409.63,expert,Muramasa,Boomstick,Holy of Holies,Hecate's Diadem,Staff of Nuul,Arctic Orbs,13460.0,493.0,1260.0,7992.0,20.0,226.37,
zill,zill,Assassin,Farm,Physical,399.99,expert,Muramasa,Holy of Holies,Arctic Orbs,Staff of Nuul,Boomstick,Hecate's Diadem,13460.0,442.0,1260.0,7865.0,20.0,229.76,
zip,zip,Support,Support,Magic,331.29,expert,Arctic Orbs,Muramasa,Holy of Holies,Staff of Nuul,Hecate's Diadem,Boomstick,13460.0,75.0,1260.0,0.0,20.0,220.54,
zuka,zuka,Fighter,Dark Slayer,Physical,409.93,expert,Muramasa,Boomstick,Holy of Holies,Staff of Nuul,Arctic Orbs,Hecate's Diadem,13460.0,503.0,1260.0,7319.0,20.0,218.03,
zuka,zuka,Fighter,Farm,Physical,409.93,expert,Muramasa,Boomstick,Hecate's Diadem,Arctic Orbs,Staff of Nuul,Holy of Holies,13460.0,503.0,1260.0,7319.0,20.0,224.02,
zuka,zuka,Assassin,Dark Slayer,Physical,409.93,expert,Muramasa,Staff of Nuul,Arctic Orbs,Hecate's Diadem,Holy of Holies,Boomstick,13460.0,503.0,1260.0,7319.0,20.0,215.68,
zuka,zuka,Assassin,Farm,Physical,409.93,expert,Arctic Orbs,Hecate's Diadem,Holy of Holies,Muramasa,Staff of Nuul,Boomstick,13460.0,503.0,1260.0,7319.0,20.0,227.06,
