SkillID,HeroID,SkillName,SkillType,Effect,RecommendItemType
S329,H083,Hulking ,Buff,Increases damage,"Support, Defense"
S330,H083,Wild Charge,Physical,Knock Up,Defense
S331,H083,Wild Stomp,Magic,Reduce Damage,Defense
S332,H083,Wild Prison,Physical,Trap enemies,Defense
S333,H084,"Static Shock	",True Damage,"Deals true damage on attack	",Attack
S334,H084,"Bionic Blender	",Physical,"Spins arms, dealing AoE damage	",Attack
S335,H084,"Smooth Moves	",Physical,"Jumps behind enemies, gaining a shield	","Attack, Movement"
S336,H084,"Liftoff	",Physical,"Locks onto enemies and jumps to them	","Attack, Defense"
S337,H085,"Fox Form	",Magic,"Increases range, armor penetration, and movement speed in fox form",Magic
S338,H085,"Shining Light	",Magic,Dealing area damage,Magic
S339,H085,"Blinding Light	",Magic,Stun,Magic
S340,H085,Unpredictable,Magic,Dealing AoE damage and slowing enemies while transforming,"Magic, Movement"
S341,H086,Natural Affinity,Passive,"Regenerates HP when inside bushes.	",Support
S342,H086,"Wicked Thorns	",Physical,"Extends vines to deal AoE damage and slow enemies.	",Defense
S343,H086,"Branching Out	",Physical,"Grabs and pulls enemies towards the center while stunning them.	",Attack
S344,H086,"Nature's Realm	",Physical,"Enters guardian mode, reduces enemy speed, deals damage, and restores HP.	",Defense
S345,H087,Ignite,"Mixed Damage	","Bonus magic damage on attacks, increased attack speed	",Attack
S346,H087,"Loose Cannon	",Physical,"Deals AoE physical damage, slows enemies, grants vision reveal	","Attack, Movement"
S347,H087,"Barrel Bomb	",Physical,"Stuns enemies and deals AoE physical damage	",Attack
S348,H087,"Shock and Awe	",Physical,"Large AoE physical damage, knockback effect	",Attack
S349,H088,"Abyssal Might	",Magic,"When Marja uses a skill, she summons Soul Devourer","Magic, Movement"
S350,H088,"Dark Pulse	",Magic,"Marja releases Shadow Energy, dealing  magic damage",Magic
S351,H088,"Soul Devourer	",Magic,Releases Shadow Chain dealing magic damage while restoring HP,"Magic, Defense"
S352,H088,"Ghostwalk	",Magic,"Releases dark energy waves, increasing her movement speed by and becoming immune to all crowd control",Magic
S353,H089,Ignite,Physical,"Mixed Damage	","Attack, Movement"
S354,H089,"Loose Cannon	",Physical,Mobility,Attack
S355,H089,"Barrel Bomb	",Physical,Stun,Attack
S356,H089,"Shock and Awe	",Physical,AoE,Attack
S357,H090,Ravenous Beasts ,Magic,Heal,Magic
S358,H090,Lion Tamer ,Magic,AoE Magic Damage,Support
S359,H090,Uncaged,Magic,Slow Enemies,Defense
S360,H090,Snare ,Magic,Lock Enemy (Control),Defense
S361,H091,Scattershot,Passive,"Enhances basic attacks to deal AoE damage and reduce enemy armor	",Attack 
S362,H091,"Charged Shot	",Physical,"Increases movement speed and enhances next attacks	",Attack 
S363,H091,Bolt,Physical,"Dashes to a target, stunning and knocking back enemies	",Attack 
S364,H091,Determination,Buff,"Enhances basic attacks to deal AoE damage and reduce enemy armor	",Attack 
S365,H092,"Battle Instinct	",Passive,"Adapts to terrain, gaining buffs accordingly (HP regen, movement speed, armor boost)	","Defense, Movement"
S366,H092,"Jungle Strike	",Physical,"Dashes forward, dealing physical damage; follow-up strikes deal additional damage based on terrain effect.",Attack
S367,H092,Retaliate,Physical,"Becomes invulnerable briefly, then deals AOE damage with additional terrain-based effects","Attack, Defense"
S368,H092,"Mark of the Hunter	",Physical,"Deals true damage in an area, reduces enemy movement speed, and applies silence	",Attack
S369,H093,Fire Spirit,"Magic	","Increase Damage	",Magic 
S370,H093,Wild Fire,"Magic	",Heal,Defense 
S371,H093,Blazing Shield,"Magic	",Defense,Defense
S372,H093,Agnie's Grasp,"Magic	","Lock on Target	",Magic 
S373,H094,Whisperwind,Passive,Grants bonus movement speed,"Movement, Support"
S374,H094,"Gust Force	",Magic,Summons a wind vortex that slows enemies,Magic
S375,H094,"Wind Cuffs	",Magic,"Shields allies, stuns enemies",Magic
S376,H094,"Hurricane Wall	",Magic,Creates a wind barrier that repels enemies,Magic
S377,H095,Ambush,Passive ,Guaranteed crit from behind,Attack
S378,H095,"Mutilate	",Physical,"Slashes twice dealing  damage each	",Attack
S379,H095,Decimate,Physical,"Dashes and strikes, applying a debuff reducing enemy dodge rate	",Attack
S380,H095,Assassinate,Stealth ,"Turns invisible, moves faster, gains attack boost upon exiting stealth","Attack, Movement"
S381,H096,"Living Water	",Magic,"Heals herself and allies when using skills	","Magic, Support"
S382,H096,"Water Spirits	",Magic,"Releases water spirits that slow enemies	",Magic
S383,H096,"Wall of Water	",Magic,"Creates a water barrier that stuns enemies	",Magic
S384,H096,"Tide of Life	",Magic,"Restores HP and makes Sephera untargetable	",Magic
S385,H097,Zip Bloat!,Magic,Increases magic damage,Magic
S386,H097,Zip Hex!,Magic,Deals magic damage and stuns the target.,"Magic, Support"
S387,H097,Zip Angry!,Magic,"Reduces enemy movement speed, pulls allies and minions into the mouth, providing a shield and healing.",Defense
S388,H097,Zip Roll!,Magic,Grants crowd control immunity while rolling,Defense 
S389,H098,"Dimensional Force	",Magic,"Boosts skill effects, and increases movement speed",Magic
S390,H098,"Dimensional Walk	",Magic,"Increases movement speed, reduces incoming damage, and enhances attacks","Movement, Magic"
S391,H098,"Dimensional Cube	",Magic,Creates an energy field that explodes,Magic
S392,H098,"Dimensional Portal	",Magic,"Slows enemies , deals magic damage, and stuns",Magic
S393,H099,Blood Drinker,Physical,"Accumulates Berserk stacks. Each stack increases his movement speed, attack speed, and lifesteal but reduces his armor.",Attack
S394,H099,Ghostscythe,Physical,"Dashes to the target direction. If hits a non-hero unit, deals physical damage. If hits an enemy hero, causes the target to be knocked back",Attack
S395,H099,Boneshaver,Physical,"Transforms demonic arm into a blade and slashes in a straight line, dealing physical damage and reducing enemy movement speed",Attack
S396,H099,Demon Claw,Physical,"Leaps into the air, becoming untargetable, and selects a landing point. Upon landing, deals physical damage, reducing enemy armor and movement speed",Attack
S397,H100,Shuffle,Physical ,"After exiting combat, normal attacks turn into stabs that deal extra physical damage.",Attack 
S398,H100,Blossom,Physical ,"Throws a flower at the enemy, dealing physical damage and stunning",Attack 
S399,H100,"Triple Threat	",Physical ,"Attacks three times: First attack slows the enemy, second deals physical damage, third strikes twice, each dealing physical damage.",Attack 
S400,H100,"Gentlemen's Duel	",Immunity,"Dashes toward an enemy, marking them with a duel. Gains control immunity, increased damage","Defense, Attack"
S401,H101,"Bloody Kiss	",Physical,"Gains stacks, dealing bonus damage and healing while reducing cooldowns.",Defense
S402,H101,"Bloody Fangs	",Physical,"Attacks twice with snakes, dealing damage and stunning if both hit.	",Attack
S403,H101,"Serpent�s Embrace	",Physical,"Flings enemies in front, dealing damage and slowing them.	",Attack
S404,H101,Venom,True Damage,"Dashes, dealing true damage, and enters Enrage mode to enhance attacks.	","Attack, Movement"
S405,H102,Duel,Physical,Attack Damage,Attack
S406,H102,Kickblade,Physical,Slow,"Attack, Movement"
S407,H102,Combo,Physical,Knockup,Attack
S408,H102,Enrage,Magic,Reduce Damage,"Magic, Defense"
S409,H103,Stalk,Physical,Invisible,Movement
S410,H103,Sentinel,Physical,"Vision Grant, Bonus Damage",Attack
S411,H103,Snipe,Physical,Movement Slow,Attack
S412,H103,Disengage,Physical,Knockback,Attack
S413,H104,"212 Pinnacle	",Passive,"Revives with a shield and enhanced attacks upon taking fatal damage	","Attack, Defense"
S414,H104,"212 Pummel	",Physical,"Empowers three consecutive attacks, knocking up on the third hit	","Attack, Movement"
S415,H104,"212 Maelstrom	",Physical,"Charges forward, dealing damage and knocking back enemies	","Attack, Defense"
S416,H104,"212 Landslide	",Physical,"Slams the ground, stunning enemies and dealing massive damage	",Attack
S417,H105,Aquamarine,Passive,Switches between machine gun and laser gun mode,Attack 
S418,H105,Pulse Shot,Physical ,Changes attack mode and fires lasers,"Attack,Movement"
S419,H105,Piercing Shot,Movement Speed,Removes movement impairments and increases speed,Attack 
S420,H105,Fusillade,Physical,Fires a spread barrage reducing enemy armor,Attack 
S421,H106,"Protection Aura	",Physical,"Gains armor and lifesteal when using skills, healing when hitting enemies.	",Attack
S422,H106,Starchaser,Physical,"Dashes forward, dealing damage and knocking enemies up.	","Attack, Movement"
S423,H106,"Mountain Shaker	",Physical,"Releases a shockwave, dealing damage and reducing enemy armor.	",Attack
S424,H106,"The Brawler	",Physical,"Knocks back all enemies in front, dealing damage and stunning if they hit walls.	","Attack, Defense"
S425,H107,"Lunar Phase	",Physical,"Increases speed, marks enemies, deals damage when fully stacked","Attack, Movement"
S426,H107,"Crescent Strike	",Physical,Deals area damage,Magic
S427,H107,"Spinning Sickle	",Physical,"Dealing damage in a straight path, slowing enemies",Magic
S428,H107,"Full Moon	",Physical,"Changes weapon form, increasing damage and attack speed.",Magic
S429,H108,Crusade,Physical,Increases damage output on distant enemies and boosts movement speed upon hit.,Attack
S430,H108,Amputate,Mobility,"Dashes to a target location, enhances attack power when Skill 2 hits an enemy.",Attack
S431,H108,Judgment,Physical,"Immobilizing the first enemy hit, increasing movement speed and reducing cooldown",Attack
S432,H108,Decapitate,Physical,"Dealing damage along the path, or to the nearest enemy if no mark is available.",Attack
S433,H109,Lucky Star,Physical,Attack Speed Buff,Attack
S434,H109,"Light Chaser	",Physical,Enhances basic attacks,Movement
S435,H109,"Mighty Shield	",Physical,Creates a shield,Attack
S436,H109,"Double Trouble	",Physical,Stun,Attack
S437,H110,Ballistics,Physical,Increases attack power,Attack
S438,H110,Redeploy,Physical,increases movement speed,Movement
S439,H110,Sentry,Physical,Slowing movement,Attack
S440,H110,Entrench,Physical,Set up a stationary turret,"Attack, Defense"
S441,H111,"Flash of Inspiration	",Passive,"Gains energy when using skills, increasing attack speed and healing HP.",Attack
S442,H111,"Splash Ink	",Physical,"Strikes forward, dealing damage and knocking up enemies.	",Attack
S443,H111,"Coiling Dragon	",Physical,"Dashes in a curve while immune to CC, dealing damage.	","Attack, Movement"
S444,H111,"Crushing Mountain	",Physical,"Enters an enhanced state, dealing bonus true damage.	",Attack
S445,H112,Windstorm,Magic ," Third basic attack deals magic damage. If his abilities hit, it triggers Windstorm",Magic
S446,H112,"Eagle Screech	",Magic ,"Shoots a magic projectile at a target location, dealing magic damage",Magic
S447,H112,Twister,Magic ,Dealing  magic damage and slowing enemies,Magic
S448,H112,"Ascend	",Magic ,"Transforms movement into dashes, dealing  magic damage",Magic
S449,H113,"Fos' Ring	",Physical,"Upgrades normal attacks and skills based on marks	",Attack 
S450,H113,"Comet Strike	",Physical,Increasing speed and damage,Attack
S451,H113,"Piercing Heart	",Mobility,Dealing multiple hits and lifesteal,Attack 
S452,H113,"Sky-Breaking Saber	",Physical, Reducing enemy speed and damage received,Attack
S453,H114,Good Luck,Heal,Normal attack grants bonus damage and absorbs energy from the enemy to heal HP,Support
S454,H114,Worry-free,Magic,"Links to target, increasing magic power, attack speed, and movement speed",Magic
S455,H114,Flying Wings,Buff,Increase armor and resistance,Magic
S456,H114,Longevity,Heal,Uses his HP to heal allies and deals damage,Magic
S457,H115,"Fairy Dance	",Physical,"Deals AoE damage, boosts energy, and enables short-range dashes.",Attack 
S458,H115,"Greeting of Leaves	",Magic,Fires leaves that deal magic damage and slow enemies.,Magic 
S459,H115,"Spinning Song	",Buff,"Boosts energy, provides a shield, and increases movement speed.",Defense
S460,H115,"Laurel Bloom	",Magic,Unleash consecutive attacks with magic damage and movement speed boost.,Magic 
S461,H116,Sand's Gift,Buff,"Enhances normal attacks to deal area damage. Gains armor when hit or using abilities.	",Attack
S462,H116,"Sand Strike	",Physical,"Charges forward, dealing damage and knocking up enemies.	","Attack, Movement"
S463,H116,"Sands of Time	",Physical,"Dashes forward 3 times, dealing damage and slowing enemies.	",Attack
S464,H116,"Sands of Victory	",Physical,"Summons a sand beast, lunging forward and dealing damage while knocking enemies airborne. Gains invulnerability.	","Attack, Defense"
S465,H117,Don't Test Me,Buff,Increases movement speed,Movement
S466,H117,Bonnie Smack!,Magic, Deals AoE magic damage and marks the target area with energy,Magic
S467,H117,Gina Thwack!,Magic,Deals AoE magic damage and stuns enemies,Magic
S468,H117,Allan Kaboom!,Magic,"Pulls enemies into a targeted area, dealing magic damage and stunning",Magic
S469,H118,Seven-Star Sword,Physical,Enhances normal attacks after using skill,Attack
S470,H118,Triangle Sword,Physical,Dealing physical damage and increasing movement speed,"Attack, Movement"
S471,H118,Pierce Fountain,Physical,Dealing multiple instances of physical damage and healing,Attack
S472,H118,Sky-Breaking Saber,Physical,"Dealing physical damage, reducing enemy movement speed, and gaining status resistance","Attack, Defense"
S473,H119,"Gift of the Merfolk	",Physical,"Reduces CC duration, regenerates HP, increases AoE damage",Defense
S474,H119,"Echo of Glee	",Magic,"Deals damage, slows, if the last wave hits, it knocks back enemies",Magic
S475,H119,Dive,Magic,"heals allies, reduces cooldown if in Water Terrain",Magic
S476,H119,"Oceanic Gift	",Special,"Resets longest ally skill cooldown, reduces own cooldown",Support
